Date,Channel,Campaign,Spend,Impressions,Clicks,Leads,MQLs,SQLs,Customers,Revenue
2024-01-01,Affiliate,Cashback Partners,6087.0,50901,1264,105,56,24,5,18160.0
2024-01-01,Affiliate,Content & Review Partners,8872.0,31705,1027,66,33,14,3,14992.0
2024-01-01,Affiliate,Coupon & Deals Partners,10045.0,76461,1744,146,87,40,9,33882.0
2024-01-01,Email,Abandoned Cart Series,2399.0,12814,575,109,81,46,13,56588.0
2024-01-01,Email,Post-Purchase Upsell,2175.0,18270,544,96,63,39,11,39390.0
2024-01-01,Email,Weekly Newsletter,2843.0,21358,946,149,104,68,18,63864.0
2024-01-01,Email,Win-Back Campaign,2099.0,15676,605,139,99,64,17,52862.0
2024-01-01,Google Ads,Performance Max - New Customers,19121.0,14650,654,75,45,27,7,42787.0
2024-01-01,Google Ads,Search - Brand,15432.0,11294,519,46,32,18,4,18727.0
2024-01-01,Google Ads,Search - Non-Brand,23213.0,20943,1058,117,79,41,8,44961.0
2024-01-01,Google Ads,Shopping - Bestsellers,9896.0,12826,422,38,25,14,3,15350.0
2024-01-01,LinkedIn Ads,InMail - Account Based Marketing,10824.0,10195,92,7,5,3,1,21086.0
2024-01-01,LinkedIn Ads,Lead Gen Forms - Enterprise,14093.0,17752,133,6,4,2,1,15629.0
2024-01-01,LinkedIn Ads,Sponsored Content - Decision Makers,16124.0,24484,128,8,6,3,1,19379.0
2024-01-01,Meta Ads,Advantage+ Shopping,18769.0,50411,1179,59,27,15,2,10125.0
2024-01-01,Meta Ads,Prospecting - Lookalike 1%,17539.0,76704,1797,113,57,23,4,14323.0
2024-01-01,Meta Ads,Retargeting - Cart Abandoners,13816.0,71784,1469,125,63,31,5,18609.0
2024-01-01,Meta Ads,Video Views - Brand Awareness,12282.0,49647,1334,91,52,21,3,13959.0
2024-01-01,YouTube,Bumper Ads - Retargeting,8175.0,47385,682,24,9,4,0,0.0
2024-01-01,YouTube,Discovery Ads - Product Demo,10662.0,79512,1411,44,20,7,1,5432.0
2024-01-01,YouTube,In-Stream - Brand Awareness,12682.0,139266,1979,62,24,9,1,3539.0
2024-01-08,Affiliate,Cashback Partners,6340.0,27476,732,59,28,14,3,11469.0
2024-01-08,Affiliate,Content & Review Partners,9086.0,47971,1042,102,58,24,4,14210.0
2024-01-08,Affiliate,Coupon & Deals Partners,10243.0,70326,2210,192,99,52,10,39286.0
2024-01-08,Email,Abandoned Cart Series,2728.0,31215,971,147,98,60,19,61763.0
2024-01-08,Email,Post-Purchase Upsell,1898.0,7905,355,79,51,33,9,38762.0
2024-01-08,Email,Weekly Newsletter,3035.0,25118,701,132,87,56,17,67453.0
2024-01-08,Email,Win-Back Campaign,1919.0,17190,561,120,74,44,13,52957.0
2024-01-08,Google Ads,Performance Max - New Customers,18658.0,24249,1158,129,85,48,10,56512.0
2024-01-08,Google Ads,Search - Brand,14637.0,22229,769,80,47,26,5,31159.0
2024-01-08,Google Ads,Search - Non-Brand,23180.0,22693,1104,129,79,39,9,42367.0
2024-01-08,Google Ads,Shopping - Bestsellers,9184.0,11352,515,53,34,19,4,22471.0
2024-01-08,LinkedIn Ads,InMail - Account Based Marketing,11261.0,7731,77,4,3,2,0,0.0
2024-01-08,LinkedIn Ads,Lead Gen Forms - Enterprise,15253.0,14348,98,6,4,2,1,23171.0
2024-01-08,LinkedIn Ads,Sponsored Content - Decision Makers,17515.0,29266,156,8,5,3,1,15138.0
2024-01-08,Meta Ads,Advantage+ Shopping,18358.0,49208,1255,100,55,28,4,16386.0
2024-01-08,Meta Ads,Prospecting - Lookalike 1%,18714.0,79260,1558,138,71,33,5,19505.0
2024-01-08,Meta Ads,Retargeting - Cart Abandoners,14737.0,40368,1106,96,56,27,4,18206.0
